Path	Mechanic	Name	Tier	Linked	Repeat	Class Feature	Requirements	Description	Notes
all	armor	Unarmored	1	C		Barbarian-1 Monk-1		When not wearing armor, you can use the light armor box.	Everyone gets one of these
all	armor	Light Armor	1	C		NOT Wizard and Sorcerer		You are proficient with light armor.	
caster	armor	Mage Armor	1	C		Wizard-1 Sorcerer-1	Minor Spellcasting	counts as light armor	
martial	armor	Shielded	1	D			Light Armor		
caster	armor	Shield Spell	1	D			Minor Spellcasting	counts as shield	
martial	armor	Heavy Armor	1				Shielded		
all	resist	Resilient Strength	1			Fighter-1			Less powerful than just improving a stat.
all	resist	Resilient Dexterity	1						Less powerful than just improving a stat.
all	resist	Resilient Constitution	1			Fighter-1 Sorcerer-1			Less powerful than just improving a stat.
all	resist	Resilient Intelligence	1			Wizard-1 Druid-1			Less powerful than just improving a stat.
all	resist	Resilient Wisdom	1			Wizard-1 Druid-1			Less powerful than just improving a stat.
all	resist	Resilient Charisma	1						Less powerful than just improving a stat.
any	resist	Reliable Strength	2				Resilient Strength	Reduce consequence for misfortune rolls with Strength.	
any	resist	Reliable Dexterity	2				Resilient Dexterity	Reduce consequence for misfortune rolls with Dexterity.	
any	resist	Reliable Constitution	2				Resilient Constitution	Reduce consequence for misfortune rolls with Constitution.	
any	resist	Reliable Intelligence	2				Resilient Intelligence	Reduce consequence for misfortune rolls with Intelligence.	
any	resist	Reliable Wisdom	2				Resilient Wisdom	Reduce consequence for misfortune rolls with Wisdom.	
any	resist	Reliable Charisma	2				Resilient Charisma	Reduce consequence for misfortune rolls with Charisma.	
any	resist	Condition Resilience	2					Reduce consequences for one condition type: X	disease, poison, fear, sleep, charm, stun, telepathy
any	resist	Damage Resilience	2					reduce consequences by 1	fire, cold, acid, lightning, thunder, bludgeoning, piercing, slashing
any	resist	Physical Resilience	3					reduce consequences by 1	non-magical ; rage? falling?
any	resist	Condition Immunity	3					immunity to one condition type: X	
any	resist	Damage Immunity	3					immunity to one damage type: X	
any	resist	Spell Resistance	3			School of Abjuration 3		+1D to misfortune rolls against spells	
all	stat	Minor Stat Improvement: STAT	1		TRUE			increase one stat from 0 to 1	
all	stat	Major Stat Improvement: STAT	2		TRUE			Increase one stat from 1 to 2: STAT	
all	stat	Epic Stat Improvement: STAT	3		TRUE			Increase one stat from 2 to 3: STAT	
any	scale	Action Surge	1					Strain 2 to double your scale for one action.	
martial	attack scale	Major Attack	2			Fighter 2, Barbarian 2, Ranger 2, Paladin 2	Weapon Master	When in combat, your scale counts as two.	Meant as a more flexible version of Extra Attack.
martial	attack scale	Epic Attack	3			Fighter 3	Major Attack	When in combat, your scale counts as four.	
martial	attack scale	Legendary Attack	4			Fighter 4	Epic Attack	When in combat, your scale counts as eight.	
martial	attack position	Controlled Attack	X	B		Rogue-1		+1D when you attack with controlled position.	Sneak Attack. Probably better than the D&D feature. Encourages players to find a controlled position, or trade position for effect, and generally take less strain.
martial	attack position	Risky Attack	X	B		Fighter-1		+1D when you attack with risky position.	Encourages player to find a risky position, or trade position for effect.
martial	attack position	Desperate Attack	X	B		Barbarian-1		+1D when you attack with desperate position.	Barbarian's "Reckless Attack" feature. Encourages players to find a desperate position, or trade position for effect, and generally take more strain.
martial	special armor	Uncanny Dodge	2			Rogue-2		When you can dodge, you can use the special armor box.	Not as good as the original?
caster	special armor	Arcane Ward	2			School of Abjuration 1	Abjuration Adept	When you can cast spells, you can use the special armor box.	In addition to shield.
caster	special armor	Projected Ward	2			School of Abjuration 2	Arcane Ward	You can use Arcane Ward to protect within close range.	
caster	special armor	Counterspell	2				Major Spellcasting	Strain 2 to prevent another spell from being cast.	
martial	weapon	Light Weapons	1			Rogue-1 Bard-1		one-handed weapons for hunting, dueling, and defeating light armor	
martial	weapon	Archery	1				Light Weapons	You are proficient with bows and crossbows, which can be light or heavy.	Heavy bows and crossbows are effective against heavy armor.
martial	weapon	Heavy Weapons	1			Fighter-1	Light Weapons	two-handed weapons for battle and defeating heavy armor	Heavy weapons are effective against heavy armor.
caster	weapon	Light Blast	1				spellcasting tier 0	attack cantrips count as light weapons	
caster	weapon	Heavy Blast	1				Light Blast	attack cantrips count as heavy weapons	
martial	weapon	Weapon Master: Sword	1				Light Weapons	You have potency with swords.	
martial	weapon	Weapon Master: Axe and Mace	1				Light Weapons	You have potency with axes, hammers, and picks.	
martial	weapon	Weapon Master: Simple	1				Light Weapons	You have potency with simple weapons: knives, clubs, staves, tools.	mastery still requires knowledge of light weapons
martial	weapon	Weapon Master: Unarmed	1				Light Weapons	You have potency with unarmed attacks and grappling.	mastery still requires knowledge of light weapons
martial	weapon	Weapon Master: Bow	1				Archery	You have potency with bows and crossbows.	
martial	weapon	Weapon Master: Polearm	1				Heavy Weapons	You have potency with polearms and lances.	
martial	weapon	Martial Arts	1			Monk 1	Weapon Master: Unarmed	Your unarmed attacks are as effective as simple weapons.	
martial	weapon	Improved Martial Arts	2			Monk 2	Martial Arts	Your unarmed attacks are as effective as light weapons.	
expert	flashback	Major Foresight	2				3+ Expertise	Flashbacks cost one less strain when you have relevant expertise or potency.	
caster	spellcasting	Arcane Spellcasting: Intelligence	1					spellcasting tier 0	
caster	spellcasting	Arcane Spellcasting: Charisma						spellcasting tier 0	
caster	spellcasting	Divine Spellcasting: Wisdom	1					spellcasting tier 0	
caster	spellcasting	Divine Spellcasting: Charisma	1					spellcasting tier 0	
caster	spellcasting	Primal Spellcasting: Wisdom						spellcasting tier 0	
caster	spellcasting position	Controlled Spellcasting	X	A		Wizard-1 Druid-1	Greater Spellcasting	+1D when you cast a spell with controlled position.	Encourages players to find a controlled position, or trade position for effect, and generally take less strain.
